ID,TIPO_REPORTE_ID,AREA_ID,MEDIO_ID,DIREECION_ID,ZONA DEL ESTADO,TIPO DE DESAPARICION,ESTATUS DE LA PERSONA DESAPARECIDA O NO LOCALIZADA,FECHA DE DESAPARICION,FECHA EN QUE SE PERCATO,FOLIO CEBV
65,4,5,3,65,CENTRO,,NO LOCALIZADA,20/05/2023,20/05/2023,23/CI 0349M-23ZC
66,4,5,3,66,CENTRO,,NO LOCALIZADA,20/05/2023,20/05/2023,23/CI 0350M-23ZC
67,4,5,3,67,NORTE,,LOCALIZADA CON VIDA,27/05/2023,27/05/2023,23/CI 0351M-23ZN
68,2,5,3,68,NORTE,,LOCALIZADA CON VIDA,27/05/2023,27/05/2023,23/CI 0352M-23ZN
69,2,5,3,69,CENTRO,,NO LOCALIZADA,00/11/2019,00/11/2019,23/CI 0353U-19ZC
70,2,5,3,70,CENTRO,,LOCALIZADA CON VIDA,28/05/2023,28/05/2023,23/CI 0354U-23ZC
71,2,5,3,71,NORTE,,LOCALIZADA CON VIDA,28/05/2023,28/05/2023,23/CI 0355U-23ZN
72,2,5,3,72,CENTRO,,NO LOCALIZADA,15/11/2011,16/11/2011,23/IM 0006U-11ZC
73,2,5,3,73,CENTRO,,NO LOCALIZADA,01/05/2010,01/05/2010,23/IM 0007U-10ZC
74,2,5,3,74,SUR,,LOCALIZADA CON VIDA,27/04/2023,27/04/2023,23/SB 0734U-23ZS
75,2,5,3,75,NORTE,,NO LOCALIZADA,30/04/2023,30/04/2023,23/SB 0735U-23ZN
76,2,5,3,76,NORTE,,NO LOCALIZADA,29/04/2023,29/04/2023,23/SB 0736M-23ZN
77,2,5,3,77,NORTE,,NO LOCALIZADA,29/04/2023,29/04/2023,23/SB 0737M-23ZN
78,4,5,3,78,CENTRO,,LOCALIZADA CON VIDA,01/05/2023,01/05/2023,23/SB 0738U-23ZC
79,3,5,3,79,CENTRO,,NO LOCALIZADA,29/04/2023,29/04/2023,23/SB 0739M-23ZC
80,1,5,3,80,CENTRO,,NO LOCALIZADA,29/04/2023,29/04/2023,23/SB 0740M-23ZC
81,1,5,3,81,NORTE,,LOCALIZADA CON VIDA,27/03/2023,27/03/2023,23/SB 0741U-23ZN
82,1,3,3,82,NORTE,,LOCALIZADA CON VIDA,01/05/2023,01/05/2023,23/SB 0742U-23ZN
83,1,3,3,83,CENTRO,,NO LOCALIZADA,02/05/2023,02/05/2023,23/SB 0743U-23ZC
84,1,3,3,84,CENTRO,,LOCALIZADA CON VIDA,30/04/2023,30/04/2023,23/SB 0744U-23ZC
85,1,3,3,85,CENTRO,,NO LOCALIZADA,01/05/2023,01/05/2023,23/SB 0745U-23ZC
86,1,3,3,86,CENTRO,,NO LOCALIZADA,30/04/2023,30/04/2023,23/SB 0746U-23ZC
87,1,3,3,87,SUR,,LOCALIZADA CON VIDA,02/05/2023,02/05/2023,23/SB 0747U-23ZS
88,1,3,3,88,CENTRO,,LOCALIZADA CON VIDA,30/04/2023,30/04/2023,23/SB 0748U-23ZC
89,1,3,3,89,CENTRO,,NO LOCALIZADA,02/05/2023,02/05/2023,23/SB 0749U-23ZC
90,1,3,3,90,CENTRO,,NO LOCALIZADA,02/05/2023,02/05/2023,23/SB 0750U-23ZC
91,1,3,3,91,SUR,,NO LOCALIZADA,11/11/2021,11/11/2021,23/SB 0751U-21ZS
92,1,3,3,92,CENTRO,,NO LOCALIZADA,04/05/2023,04/05/2023,23/SB 0752U-23ZC
93,1,3,3,93,NORTE,,LOCALIZADA CON VIDA,03/05/2023,03/05/2023,23/SB 0753U-23ZN
94,1,3,3,94,CENTRO,,LOCALIZADA CON VIDA,04/05/2023,04/05/2023,23/SB 0754U-23ZC
95,1,3,3,95,CENTRO,,NO LOCALIZADA,05/05/2023,05/05/2023,23/SB 0755U-23ZC
96,1,3,3,96,CENTRO,,LOCALIZADA CON VIDA,01/05/2023,01/05/2023,23/SB 0756U-23ZC
97,1,3,3,97,CENTRO,,LOCALIZADA CON VIDA,03/05/2023,03/05/2023,23/SB 0757U-23ZC
98,1,3,3,98,NORTE,,NO LOCALIZADA,04/05/2023,04/05/2023,23/SB 0758U-23ZN
99,1,3,3,99,SUR,,LOCALIZADA CON VIDA,05/05/2023,05/05/2023,23/SB 0759U-23ZS
100,1,3,3,100,CENTRO,,NO LOCALIZADA,04/05/2023,04/05/2023,23/SB 0760U-23ZC
101,1,3,3,101,CENTRO,,NO LOCALIZADA,05/05/2023,05/05/2023,23/SB 0761U-23ZC
102,1,3,3,102,SUR,,LOCALIZADA CON VIDA,02/05/2023,02/05/2023,23/SB 0762U-23ZS
103,1,3,3,103,SUR,,LOCALIZADA CON VIDA,06/05/2023,06/05/2023,23/SB 0763U-23ZS
104,1,3,3,104,CENTRO,,NO LOCALIZADA,11/04/2023,11/04/2023,23/SB 0764U-23ZC
105,1,3,3,105,CENTRO,,LOCALIZADA CON VIDA,06/05/2023,06/05/2023,23/SB 0765U-23ZC
106,1,3,3,106,NORTE,,LOCALIZADA CON VIDA,06/05/2023,06/05/2023,23/SB 0766U-23ZN
107,1,3,3,107,SUR,,LOCALIZADA CON VIDA,06/05/2023,06/05/2023,23/SB 0767U-23ZS
108,1,3,3,108,NORTE,,LOCALIZADA SIN VIDA,04/05/2023,04/05/2023,23/SB 0768U-23ZN
109,1,3,3,109,NORTE,,NO LOCALIZADA,07/05/2023,07/05/2023,23/SB 0769U-23ZN
110,1,3,3,110,SUR,,LOCALIZADA CON VIDA,06/05/2023,06/05/2023,23/SB 0770U-23ZS
111,4,3,3,111,SUR,,NO LOCALIZADA,30/04/2023,30/04/2023,23/SB 0771U-23ZS
112,4,3,3,112,CENTRO,,NO LOCALIZADA,07/05/2023,07/05/2023,23/SB 0772U-23ZC
113,4,3,3,113,CENTRO,,LOCALIZADA CON VIDA,08/05/2023,08/05/2023,23/SB 0773U-23ZC
114,4,3,3,114,CENTRO,,LOCALIZADA CON VIDA,08/05/2023,08/05/2023,23/SB 0774U-23ZC
115,4,3,3,115,SUR,,LOCALIZADA CON VIDA,07/05/2023,07/05/2023,23/SB 0775U-23ZS
116,4,3,3,116,CENTRO,,NO LOCALIZADA,05/05/2023,05/05/2023,23/SB 0776U-23ZC
117,4,3,3,117,SUR,,LOCALIZADA CON VIDA,06/05/2023,06/05/2023,23/SB 0777U-23ZS
118,4,3,3,118,NORTE,,NO LOCALIZADA,09/05/2023,09/05/2023,23/SB 0778U-23ZN
119,4,3,3,119,SUR,,NO LOCALIZADA,10/05/2023,10/05/2023,23/SB 0779U-23ZS
120,4,3,3,120,CENTRO,,NO LOCALIZADA,04/05/2023,04/05/2023,23/SB 0780U-23ZC
121,4,3,3,121,CENTRO,,NO LOCALIZADA,10/11/2018,,23/SB 0781U-18ZC
122,4,3,3,122,SUR,,NO LOCALIZADA,10/05/2023,10/05/2023,23/SB 0782U-23ZS
123,4,3,3,123,CENTRO,,NO LOCALIZADA,07/05/2023,07/05/2023,23/SB 0783U-23ZC
124,4,3,3,124,CENTRO,,NO LOCALIZADA,11/05/2023,11/05/2023,23/SB 0784U-23ZC
125,4,3,3,125,CENTRO,,LOCALIZADA CON VIDA,08/05/2023,08/05/2023,23/SB 0785U-23ZC
126,4,3,3,126,CENTRO,,NO LOCALIZADA,11/05/2023,11/05/2023,23/SB 0786U-23ZC
127,4,3,3,127,NORTE,,NO LOCALIZADA,11/05/2023,11/05/2023,23/SB 0787U-23ZN
128,4,3,3,128,CENTRO,,LOCALIZADA CON VIDA,08/05/2023,08/05/2023,23/SB 0788U-23ZC
129,4,3,3,129,CENTRO,,NO LOCALIZADA,12/05/2023,12/05/2023,23/SB 0789U-23ZC
130,4,3,3,130,SUR,,NO LOCALIZADA,12/05/2023,12/05/2023,23/SB 0790U-23ZS
